,power,speed
2018-05-18 14:12:01,101.0,258.408
2018-05-18 14:12:02,95.0,263.7
2018-05-18 14:12:03,93.0,260.172
2018-05-18 14:12:04,92.0,266.436
2018-05-18 14:12:05,94.0,266.436
2018-05-18 14:12:06,101.0,261.936
2018-05-18 14:12:07,102.0,261.936
2018-05-18 14:12:08,105.0,265.536
2018-05-18 14:12:09,113.0,260.172
2018-05-18 14:12:10,111.0,260.172
2018-05-18 14:12:11,106.0,255.024
2018-05-18 14:12:12,102.0,256.716
2018-05-18 14:12:13,95.0,257.544
2018-05-18 14:12:14,89.0,255.024
2018-05-18 14:12:15,87.0,254.16
2018-05-18 14:12:16,83.0,255.024
2018-05-18 14:12:17,90.0,255.852
2018-05-18 14:12:18,105.0,258.408
2018-05-18 14:12:19,118.0,259.272
2018-05-18 14:12:20,117.0,261.936
2018-05-18 14:12:21,117.0,259.272
2018-05-18 14:12:22,106.0,259.272
2018-05-18 14:12:23,110.0,257.544
2018-05-18 14:12:24,105.0,256.716
2018-05-18 14:12:25,108.0,258.408
2018-05-18 14:12:26,107.0,258.408
2018-05-18 14:12:27,108.0,258.408
2018-05-18 14:12:28,108.0,261.936
2018-05-18 14:12:29,107.0,261.036
2018-05-18 14:12:30,117.0,268.272
2018-05-18 14:12:31,122.0,277.956
2018-05-18 14:12:32,141.0,277.956
2018-05-18 14:12:33,143.0,280.98
2018-05-18 14:12:34,140.0,280.98
2018-05-18 14:12:35,146.0,278.928
2018-05-18 14:12:36,147.0,275.94
2018-05-18 14:12:37,143.0,277.956
2018-05-18 14:12:38,146.0,274.968
2018-05-18 14:12:39,152.0,280.98
2018-05-18 14:12:40,155.0,283.032
2018-05-18 14:12:41,140.0,283.032
2018-05-18 14:12:42,140.0,285.12
2018-05-18 14:12:43,128.0,286.164
2018-05-18 14:12:44,132.0,288.324
2018-05-18 14:12:45,142.0,288.324
2018-05-18 14:12:46,155.0,292.68
2018-05-18 14:12:47,162.0,291.564
2018-05-18 14:12:48,159.0,293.796
2018-05-18 14:12:49,159.0,292.68
