,speed,power,crop
283,7.121,377.6,0.0
284,7.415,377.6,0.0
285,7.519,348.8,0.0
286,7.519,248.0,0.0
287,7.626,248.0,0.0
288,7.364,0.0,0.0
289,7.192,46.4,0.0
290,7.192,46.4,0.0
291,7.192,46.4,0.0
292,7.097,51.2,0.0
293,7.027,48.0,0.0
294,7.005,65.6,0.0
295,6.982,65.6,0.0
296,6.982,51.2,0.0
297,6.848,49.6,0.0
298,6.892,43.2,0.0
299,6.937,43.2,0.0
300,7.005,182.4,0.0
301,6.982,171.2,0.0
302,6.959,166.4,0.0
303,6.959,113.6,0.0
304,7.005,139.2,0.0
305,7.074,129.6,0.0
306,7.121,160.0,0.0
307,7.144,158.4,0.0
308,7.24,164.8,0.0
309,7.265,128.0,0.0
310,7.289,132.8,0.0
311,7.3389999999999995,126.4,0.0
312,7.314,131.2,0.0
313,7.314,131.2,0.0
314,7.314,140.8,0.0
315,7.265,148.8,0.0
316,7.074,148.8,0.0
317,7.027,102.4,0.0
318,7.121,86.4,0.0
319,7.074,89.6,0.0
320,7.05,86.4,0.0
321,7.005,88.0,0.0
322,6.982,78.4,0.0
323,7.005,72.0,0.0
324,6.959,67.2,0.0
325,6.848,88.0,0.0
326,6.959,86.4,0.0
327,6.959,116.8,0.0
328,6.982,116.8,0.0
329,6.914,100.8,0.0
330,7.005,121.6,0.0
331,6.937,182.4,0.0
332,7.05,180.8,0.0
333,7.05,115.2,0.0
334,7.05,145.6,0.0
335,7.05,142.4,0.0
336,7.144,91.2,0.0
337,7.027,75.2,0.0
338,7.192,64.0,0.0
339,7.24,78.4,0.0
340,7.216,84.8,0.0
341,7.074,121.6,0.0
342,7.074,153.6,0.0
343,7.005,171.2,0.0
344,7.144,171.2,0.0
345,7.121,172.8,0.0
346,7.216,166.4,0.0
347,7.192,136.0,0.0
348,7.216,129.6,0.0
349,7.121,121.6,0.0
350,7.216,115.2,0.0
351,7.121,113.6,0.0
352,7.192,86.4,0.0
353,7.074,67.2,0.0
354,7.144,99.2,0.0
355,7.074,121.6,0.0
356,7.24,137.6,0.0
357,7.121,139.2,0.0
358,7.167999999999999,139.2,0.0
359,7.121,168.0,0.0
360,7.192,196.8,0.0
361,7.192,182.4,0.0
362,7.441,123.2,0.0
363,7.735,321.6,0.0
364,8.335,635.2,0.0
365,8.533,635.2,0.0
366,8.671,440.0,0.0
367,8.636000000000001,193.6,0.0
368,8.567,129.6,0.0
369,8.533,118.4,0.0
370,8.302999999999999,142.4,0.0
371,8.367,252.8,0.0
