,speed,power,crop
2018-05-18 12:39:57,7.427,191.0,0.0
2018-05-18 12:39:58,7.531,188.0,0.0
2018-05-18 12:39:59,7.531,176.0,0.0
2018-05-18 12:40:00,7.531,179.0,0.0
2018-05-18 12:40:01,7.584,146.0,0.0
2018-05-18 12:40:02,7.611,147.0,0.0
2018-05-18 12:40:03,7.584,132.0,0.0
2018-05-18 12:40:04,7.557,122.0,0.0
2018-05-18 12:40:05,7.611,119.0,0.0
2018-05-18 12:40:06,7.721,130.0,0.0
2018-05-18 12:40:07,7.805,136.0,0.0
2018-05-18 12:40:08,7.862,165.0,0.0
2018-05-18 12:40:09,7.92,182.0,0.0
2018-05-18 12:40:10,7.776,191.0,0.0
2018-05-18 12:40:11,7.721,212.0,400.0
2018-05-18 12:40:12,7.693,208.0,400.0
2018-05-18 12:40:13,7.891,169.0,400.0
2018-05-18 12:40:14,7.833,146.0,400.0
2018-05-18 12:40:15,7.862,165.0,400.0
2018-05-18 12:40:16,7.805,143.0,400.0
2018-05-18 12:40:17,7.891,126.0,400.0
2018-05-18 12:40:18,7.833,130.0,400.0
2018-05-18 12:40:19,7.862,140.0,400.0
2018-05-18 12:40:20,7.776,164.0,400.0
2018-05-18 12:40:21,7.949,161.0,400.0
2018-05-18 12:40:22,7.979,172.0,400.0
2018-05-18 12:40:23,7.891,176.0,0.0
2018-05-18 12:40:24,7.949,179.0,0.0
2018-05-18 12:40:25,7.833,172.0,0.0
2018-05-18 12:40:26,7.92,158.0,0.0
2018-05-18 12:40:27,7.979,124.0,0.0
2018-05-18 12:40:28,7.862,158.0,0.0
2018-05-18 12:40:29,8.161,304.0,0.0
2018-05-18 12:40:30,8.161,304.0,0.0
2018-05-18 12:40:31,8.161,304.0,0.0
2018-05-18 12:40:32,8.483,321.0,0.0
2018-05-18 12:40:33,8.725,356.0,0.0
2018-05-18 12:40:34,8.98,386.0,0.0
2018-05-18 12:40:35,8.833,439.0,0.0
2018-05-18 12:40:36,9.056,452.0,0.0
2018-05-18 12:40:37,9.133,442.0,0.0
2018-05-18 12:40:38,9.497,313.0,0.0
2018-05-18 12:40:39,9.582,251.0,0.0
2018-05-18 12:40:40,9.455,189.0,0.0
2018-05-18 12:40:41,9.373,210.0,0.0
2018-05-18 12:40:42,9.476,205.0,0.0
2018-05-18 12:40:43,9.373,286.0,0.0
2018-05-18 12:40:44,9.625,332.0,0.0
2018-05-18 12:40:45,9.712,406.0,0.0
2018-05-18 12:40:46,9.712,430.0,400.0
2018-05-18 12:40:47,9.845,376.0,400.0
2018-05-18 12:40:48,9.983,295.0,400.0
2018-05-18 12:40:49,9.891,314.0,400.0
2018-05-18 12:40:50,9.937,278.0,400.0
2018-05-18 12:40:51,10.124,224.0,400.0
2018-05-18 12:40:52,10.172,198.0,400.0
2018-05-18 12:40:53,10.172,290.0,400.0
2018-05-18 12:40:54,10.369,313.0,400.0
2018-05-18 12:40:55,10.294,329.0,400.0
2018-05-18 12:40:56,9.983,323.0,400.0
2018-05-18 12:40:57,10.124,287.0,400.0
2018-05-18 12:40:58,10.124,218.0,400.0
2018-05-18 12:40:59,9.983,207.0,400.0
2018-05-18 12:41:00,9.937,169.0,400.0
2018-05-18 12:41:01,9.937,157.0,400.0
2018-05-18 12:41:02,9.778,200.0,400.0
2018-05-18 12:41:03,9.891,266.0,400.0
2018-05-18 12:41:04,9.891,295.0,400.0
2018-05-18 12:41:05,10.029,361.0,400.0
2018-05-18 12:41:06,9.983,388.0,400.0
2018-05-18 12:41:07,9.937,408.0,400.0
2018-05-18 12:41:08,10.077,293.0,0.0
2018-05-18 12:41:09,10.077,201.0,0.0
2018-05-18 12:41:10,9.891,133.0,0.0
2018-05-18 12:41:11,9.937,0.0,0.0
2018-05-18 12:41:12,9.712,0.0,0.0
2018-05-18 12:41:13,9.497,0.0,0.0
2018-05-18 12:41:14,9.539,0.0,0.0
2018-05-18 12:41:15,9.212,0.0,0.0
2018-05-18 12:41:16,8.98,0.0,0.0
2018-05-18 12:41:17,8.551,0.0,0.0
2018-05-18 12:41:18,8.287,0.0,0.0
2018-05-18 12:41:19,8.13,0.0,0.0
2018-05-18 12:41:20,8.099,0.0,0.0
2018-05-18 12:41:21,7.748,0.0,0.0
2018-05-18 12:41:22,7.584,0.0,0.0
2018-05-18 12:41:23,7.452,0.0,0.0
2018-05-18 12:41:24,7.376,62.0,0.0
2018-05-18 12:41:25,7.35,54.0,0.0
2018-05-18 12:41:26,7.202,61.0,0.0
2018-05-18 12:41:27,7.202,62.0,0.0
2018-05-18 12:41:28,7.131,53.0,0.0
2018-05-18 12:41:29,6.98,70.0,0.0
2018-05-18 12:41:30,6.857,96.0,0.0
2018-05-18 12:41:31,6.835,102.0,0.0
2018-05-18 12:41:32,6.901,73.0,0.0
2018-05-18 12:41:33,6.946,72.0,0.0
2018-05-18 12:41:34,6.835,78.0,0.0
2018-05-18 12:41:35,6.728,80.0,0.0
2018-05-18 12:41:36,6.707,85.0,0.0
2018-05-18 12:41:37,6.857,91.0,0.0
2018-05-18 12:41:38,6.901,103.0,0.0
2018-05-18 12:41:39,6.969,113.0,0.0
2018-05-18 12:41:40,6.991,119.0,0.0
2018-05-18 12:41:41,6.946,112.0,0.0
2018-05-18 12:41:42,6.969,125.0,0.0
2018-05-18 12:41:43,6.991,132.0,0.0
2018-05-18 12:41:44,6.969,134.0,0.0
2018-05-18 12:41:45,6.969,146.0,0.0
2018-05-18 12:41:46,6.924,141.0,0.0
2018-05-18 12:41:47,6.946,124.0,0.0
2018-05-18 12:41:48,6.901,124.0,0.0
2018-05-18 12:41:49,6.991,115.0,0.0
2018-05-18 12:41:50,6.946,82.0,0.0
2018-05-18 12:41:51,6.991,73.0,0.0
2018-05-18 12:41:52,6.879,76.0,0.0
2018-05-18 12:41:53,6.879,83.0,0.0
2018-05-18 12:41:54,6.901,96.0,0.0
2018-05-18 12:41:55,6.924,103.0,0.0
2018-05-18 12:41:56,6.946,125.0,0.0
2018-05-18 12:41:57,7.037,127.0,0.0
2018-05-18 12:41:58,7.084,134.0,0.0
2018-05-18 12:41:59,7.131,143.0,0.0
2018-05-18 12:42:00,7.014,145.0,0.0
2018-05-18 12:42:01,7.084,139.0,0.0
2018-05-18 12:42:02,7.131,129.0,0.0
2018-05-18 12:42:03,7.178,126.0,0.0
2018-05-18 12:42:04,7.084,120.0,0.0
2018-05-18 12:42:05,7.154,114.0,0.0
2018-05-18 12:42:06,7.178,123.0,0.0
2018-05-18 12:42:07,7.376,130.0,0.0
2018-05-18 12:42:08,7.35,142.0,0.0
2018-05-18 12:42:09,7.427,148.0,0.0
2018-05-18 12:42:10,7.452,140.0,0.0
2018-05-18 12:42:11,7.531,145.0,0.0
2018-05-18 12:42:12,7.35,150.0,0.0
2018-05-18 12:42:13,7.325,156.0,0.0
2018-05-18 12:42:14,7.251,131.0,0.0
2018-05-18 12:42:15,7.227,119.0,0.0
2018-05-18 12:42:16,7.107,125.0,0.0
2018-05-18 12:42:17,7.154,125.0,0.0
2018-05-18 12:42:18,7.202,125.0,0.0
2018-05-18 12:42:19,7.3,128.0,0.0
2018-05-18 12:42:20,7.376,122.0,0.0
2018-05-18 12:42:21,7.325,122.0,0.0
2018-05-18 12:42:22,7.452,131.0,0.0
2018-05-18 12:42:23,7.401,143.0,0.0
2018-05-18 12:42:24,7.376,138.0,0.0
2018-05-18 12:42:25,7.531,158.0,0.0
2018-05-18 12:42:26,7.505,171.0,0.0
2018-05-18 12:42:27,7.531,168.0,0.0
2018-05-18 12:42:28,7.531,161.0,0.0
2018-05-18 12:42:29,7.638,158.0,0.0
2018-05-18 12:42:30,7.531,134.0,0.0
2018-05-18 12:42:31,7.652,117.0,0.0
2018-05-18 12:42:32,7.776,116.0,0.0
2018-05-18 12:42:33,7.776,116.0,0.0
2018-05-18 12:42:34,7.776,116.0,0.0
